ID;MOTHER;FATHER
D3Y1_47;D3;Y1
D3Y1_48;D3;Y1
D3L1_22;D3;L1
D3L1_23;D3;L1
D3L1_24;D3;L1
D3Y1_49;D3;Y1
D3Y1_50;D3;Y1
D3Y1_51;D3;Y1
D2L1_40;D2;L1
D2L1_41;D2;L1
D2L1_42;D2;L1
D3Y1_52;D3;Y1
D3Y1_53;D3;Y1
D3Y1_54;D3;Y1
D3L1_25;D3;L1
D3L1_26;D3;L1
D3L1_27;D3;L1
D3Y1_55;D3;Y1
D3Y1_56;D3;Y1
D3Y1_57;D3;Y1
D2L1_43;D2;L1
D2L1_44;D2;L1
D2L1_45;D2;L1
D3Y1_58;D3;Y1
D3Y1_59;D3;Y1
D3Y1_60;D3;Y1
D3L1_28;D3;L1
D3L1_29;D3;L1
D3L1_30;D3;L1
D3L3_31;D3;L3
D3L3_32;D3;L3
D3L3_33;D3;L3
D4L3_16;D4;L3
D4L3_17;D4;L3
D4L3_18;D4;L3
D3L2_16;D3;L2
D3L2_17;D3;L2
D3L2_18;D3;L2
D2Y1_16;D2;Y1
D2Y1_17;D2;Y1
D2Y1_18;D2;Y1
D3L3_34;D3;L3
D3L3_35;D3;L3
D3L3_36;D3;L3
D4L3_19;D4;L3
D4L3_20;D4;L3
D4L3_21;D4;L3
D3L2_19;D3;L2
D3L2_20;D3;L2
D3L2_21;D3;L2
D2Y1_19;D2;Y1
D2Y1_20;D2;Y1
D2Y1_21;D2;Y1
D3L3_37;D3;L3
D3L3_38;D3;L3
D3L3_39;D3;L3
D4L3_22;D4;L3
D4L3_23;D4;L3
D4L3_24;D4;L3
D3L2_22;D3;L2
D3L2_23;D3;L2
D3L2_24;D3;L2
D2Y1_22;D2;Y1
D2Y1_23;D2;Y1
D2Y1_24;D2;Y1
D3L3_40;D3;L3
D3L3_41;D3;L3
D3L3_42;D3;L3
D4L3_25;D4;L3
D4L3_26;D4;L3
D4L3_27;D4;L3
D3L2_25;D3;L2
D3L2_26;D3;L2
D3L2_27;D3;L2
D2Y1_25;D2;Y1
D2Y1_26;D2;Y1
D2Y1_27;D2;Y1
D3L3_43;D3;L3
D3L3_44;D3;L3
D3L3_45;D3;L3
D4L3_28;D4;L3
D4L3_29;D4;L3
D4L3_30;D4;L3
D3L2_28;D3;L2
D3L2_29;D3;L2
D3L2_30;D3;L2
D2Y1_28;D2;Y1
D2Y1_29;D2;Y1
D2Y1_30;D2;Y1
D2Y1_31;D2;Y1
D2Y1_32;D2;Y1
D2Y1_33;D2;Y1
D1L3_31;D1;L3
D1L3_32;D1;L3
D1L3_33;D1;L3
D2L1_46;D2;L1
D2L1_47;D2;L1
D2L1_48;D2;L1
D3L3_46;D3;L3
D3L3_47;D3;L3
D3L3_48;D3;L3
D2Y1_34;D2;Y1
D2Y1_35;D2;Y1
D2Y1_36;D2;Y1
D1L3_34;D1;L3
D1L3_35;D1;L3
D1L3_36;D1;L3
D2L1_49;D2;L1
D2L1_50;D2;L1
D2L1_51;D2;L1
D3L3_49;D3;L3
D3L3_50;D3;L3
D3L3_51;D3;L3
D2Y1_37;D2;Y1
D2Y1_38;D2;Y1
D2Y1_39;D2;Y1
D1L3_37;D1;L3
D1L3_38;D1;L3
D1L3_39;D1;L3
D2L1_52;D2;L1
D2L1_53;D2;L1
D2L1_54;D2;L1
D3L3_52;D3;L3
D3L3_53;D3;L3
D3L3_54;D3;L3
D2Y1_40;D2;Y1
D2Y1_41;D2;Y1
D2Y1_42;D2;Y1
D1L3_40;D1;L3
D1L3_41;D1;L3
D1L3_42;D1;L3
D2L1_55;D2;L1
D2L1_56;D2;L1
D2L1_57;D2;L1
D3L3_55;D3;L3
D3L3_56;D3;L3
D3L3_57;D3;L3
D2Y1_43;D2;Y1
D2Y1_44;D2;Y1
D2Y1_45;D2;Y1
D1L3_43;D1;L3
D1L3_44;D1;L3
D1L3_45;D1;L3
D2L1_58;D2;L1
D2L1_59;D2;L1
D2L1_60;D2;L1
D3L3_58;D3;L3
D3L3_59;D3;L3
D3L3_60;D3;L3
D2L3_31;D2;L3
D2L3_32;D2;L3
D2L3_33;D2;L3
D3Y1_61;D3;Y1
D3Y1_62;D3;Y1
D3Y1_63;D3;Y1
D3L2_31;D3;L2
D3L2_32;D3;L2
D3L2_33;D3;L2
D2L2_31;D2;L2
D2L2_32;D2;L2
D2L2_33;D2;L2
D2L3_34;D2;L3
D2L3_35;D2;L3
D2L3_36;D2;L3
D3Y1_64;D3;Y1
D3Y1_65;D3;Y1
D3Y1_66;D3;Y1
D3L2_34;D3;L2
D3L2_35;D3;L2
D3L2_36;D3;L2
D2L2_34;D2;L2
D2L2_35;D2;L2
D2L2_36;D2;L2
D2L3_37;D2;L3
D2L3_38;D2;L3
D2L3_39;D2;L3
D3Y1_67;D3;Y1
D3Y1_68;D3;Y1
D3Y1_69;D3;Y1
D3L2_37;D3;L2
D3L2_38;D3;L2
D3L2_39;D3;L2
D2L2_37;D2;L2
D2L2_38;D2;L2
D2L2_39;D2;L2
D2L3_40;D2;L3
D2L3_41;D2;L3
D2L3_42;D2;L3
D3Y1_70;D3;Y1
D3Y1_71;D3;Y1
D3Y1_72;D3;Y1
D3L2_40;D3;L2
D3L2_41;D3;L2
D3L2_42;D3;L2
D2L2_40;D2;L2
D2L2_41;D2;L2
D2L2_42;D2;L2
D2L3_43;D2;L3
D2L3_44;D2;L3
D2L3_45;D2;L3
D3Y1_73;D3;Y1
D3Y1_74;D3;Y1
D3Y1_75;D3;Y1
D3L2_43;D3;L2
D3L2_44;D3;L2
D3L2_45;D3;L2
D2L2_43;D2;L2
D2L2_44;D2;L2
D2L2_45;D2;L2
D4L3_31;D4;L3
D4L3_32;D4;L3
D4L3_33;D4;L3
D1Y1_31;D1;Y1
D1Y1_32;D1;Y1
D1Y1_33;D1;Y1
D3L1_31;D3;L1
D3L1_32;D3;L1
D3L1_33;D3;L1
D3Y1_76;D3;Y1
D3Y1_77;D3;Y1
D3Y1_78;D3;Y1
D4L3_34;D4;L3
D4L3_35;D4;L3
D4L3_36;D4;L3
D1Y1_34;D1;Y1
D1Y1_35;D1;Y1
D1Y1_36;D1;Y1
D3L1_34;D3;L1
D3L1_35;D3;L1
D3L1_36;D3;L1
D3Y1_79;D3;Y1
D3Y1_80;D3;Y1
D3Y1_81;D3;Y1
D4L3_37;D4;L3
D4L3_38;D4;L3
D4L3_39;D4;L3
D1Y1_37;D1;Y1
D1Y1_38;D1;Y1
D1Y1_39;D1;Y1
D3L1_37;D3;L1
D3L1_38;D3;L1
D3L1_39;D3;L1
D3Y1_82;D3;Y1
D3Y1_83;D3;Y1
D3Y1_84;D3;Y1
D4L3_40;D4;L3
D4L3_41;D4;L3
D4L3_42;D4;L3
D1Y1_40;D1;Y1
D1Y1_41;D1;Y1
D1Y1_42;D1;Y1
D3L1_40;D3;L1
D3L1_41;D3;L1
D3L1_42;D3;L1
D3Y1_85;D3;Y1
D3Y1_86;D3;Y1
D3Y1_87;D3;Y1
D4L3_43;D4;L3
D4L3_44;D4;L3
D4L3_45;D4;L3
D1Y1_43;D1;Y1
D1Y1_44;D1;Y1
D1Y1_45;D1;Y1
D3L1_43;D3;L1
D3L1_44;D3;L1
D3L1_45;D3;L1
D3Y1_88;D3;Y1
D3Y1_89;D3;Y1
D3Y1_90;D3;Y1
D5L2_31;D5;L2
D5L2_32;D5;L2
D5L2_33;D5;L2
D2L1_61;D2;L1
D2L1_62;D2;L1
